0x8EA1,	0xFF61,	//	HALFWIDTH IDEOGRAPHIC FULL STOP
0x8EA2,	0xFF62,	//	HALFWIDTH LEFT CORNER BRACKET
0x8EA3,	0xFF63,	//	HALFWIDTH RIGHT CORNER BRACKET
0x8EA4,	0xFF64,	//	HALFWIDTH IDEOGRAPHIC COMMA
0x8EA5,	0xFF65,	//	HALFWIDTH KATAKANA MIDDLE DOT
0x8EA6,	0xFF66,	//	HALFWIDTH KATAKANA LETTER WO
0x8EA7,	0xFF67,	//	HALFWIDTH KATAKANA LETTER SMALL A
0x8EA8,	0xFF68,	//	HALFWIDTH KATAKANA LETTER SMALL I
0x8EA9,	0xFF69,	//	HALFWIDTH KATAKANA LETTER SMALL U
0x8EAA,	0xFF6A,	//	HALFWIDTH KATAKANA LETTER SMALL E
0x8EAB,	0xFF6B,	//	HALFWIDTH KATAKANA LETTER SMALL O
0x8EAC,	0xFF6C,	//	HALFWIDTH KATAKANA LETTER SMALL YA
0x8EAD,	0xFF6D,	//	HALFWIDTH KATAKANA LETTER SMALL YU
0x8EAE,	0xFF6E,	//	HALFWIDTH KATAKANA LETTER SMALL YO
0x8EAF,	0xFF6F,	//	HALFWIDTH KATAKANA LETTER SMALL TU
0x8EB0,	0xFF70,	//	HALFWIDTH KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x8EB1,	0xFF71,	//	HALFWIDTH KATAKANA LETTER A
0x8EB2,	0xFF72,	//	HALFWIDTH KATAKANA LETTER I
0x8EB3,	0xFF73,	//	HALFWIDTH KATAKANA LETTER U
0x8EB4,	0xFF74,	//	HALFWIDTH KATAKANA LETTER E
0x8EB5,	0xFF75,	//	HALFWIDTH KATAKANA LETTER O
0x8EB6,	0xFF76,	//	HALFWIDTH KATAKANA LETTER KA
0x8EB7,	0xFF77,	//	HALFWIDTH KATAKANA LETTER KI
0x8EB8,	0xFF78,	//	HALFWIDTH KATAKANA LETTER KU
0x8EB9,	0xFF79,	//	HALFWIDTH KATAKANA LETTER KE
0x8EBA,	0xFF7A,	//	HALFWIDTH KATAKANA LETTER KO
0x8EBB,	0xFF7B,	//	HALFWIDTH KATAKANA LETTER SA
0x8EBC,	0xFF7C,	//	HALFWIDTH KATAKANA LETTER SI
0x8EBD,	0xFF7D,	//	HALFWIDTH KATAKANA LETTER SU
0x8EBE,	0xFF7E,	//	HALFWIDTH KATAKANA LETTER SE
0x8EBF,	0xFF7F,	//	HALFWIDTH KATAKANA LETTER SO
0x8EC0,	0xFF80,	//	HALFWIDTH KATAKANA LETTER TA
0x8EC1,	0xFF81,	//	HALFWIDTH KATAKANA LETTER TI
0x8EC2,	0xFF82,	//	HALFWIDTH KATAKANA LETTER TU
