0xFA40, 0xFCF1,	//	sjis-euc
0xFA41, 0xFCF2,	//	sjis-euc
0xFA42, 0xFCF3,	//	sjis-euc
0xFA43, 0xFCF4,	//	sjis-euc
0xFA44, 0xFCF5,	//	sjis-euc
0xFA45, 0xFCF6,	//	sjis-euc
0xFA46, 0xFCF7,	//	sjis-euc
0xFA47, 0xFCF8,	//	sjis-euc
0xFA48, 0xFCF9,	//	sjis-euc
0xFA49, 0xFCFA,	//	sjis-euc
0xFA4A,	0xADB5,	//	sjis-euc
0xFA4B,	0xADB6,	//	sjis-euc
0xFA4C, 0xADB7, //	sjis-euc
0xFA4D, 0xADB8, //	sjis-euc
0xFA4E, 0xADB9, //	sjis-euc
0xFA4F, 0xADBA, //	sjis-euc
0xFA50, 0xADBB, //	sjis-euc
0xFA51, 0xADBC, //	sjis-euc
0xFA52, 0xADBD, //	sjis-euc
0xFA53, 0xADBE, //	sjis-euc
0xFA54, 0xA2CC, //	sjis-euc
0xFA55, 0xFCFC,	//	sjis-euc
0xFA56, 0xFCFD,	//	sjis-euc
0xFA57, 0xFCFE,	//	sjis-euc
0xFA58, 0xADEA, //	sjis-euc
0xFA59, 0xADE2, //	sjis-euc
0xFA5A, 0xADE4, //	sjis-euc
0xFA5B, 0xA2E8, //	sjis-euc
0xFA5C, 0xF9A1,	//	sjis-euc
0xFA5D, 0xF9A2,	//	sjis-euc
0xFA5E, 0xF9A3,	//	sjis-euc
0xFA5F, 0xF9A4,	//	sjis-euc
0xFA60, 0xF9A5,	//	sjis-euc
0xFA61, 0xF9A6,	//	sjis-euc
0xFA62, 0xF9A7,	//	sjis-euc
0xFA63, 0xF9A8,	//	sjis-euc
0xFA64, 0xF9A9,	//	sjis-euc
0xFA65, 0xF9AA,	//	sjis-euc
0xFA66, 0xF9AB,	//	sjis-euc
0xFA67, 0xF9AC,	//	sjis-euc
0xFA68, 0xF9AD,	//	sjis-euc
0xFA69, 0xF9AE,	//	sjis-euc
0xFA6A, 0xF9AF,	//	sjis-euc
0xFA6B, 0xF9B0,	//	sjis-euc
0xFA6C, 0xF9B1,	//	sjis-euc
0xFA6D, 0xF9B2,	//	sjis-euc
0xFA6E, 0xF9B3,	//	sjis-euc
0xFA6F, 0xF9B4,	//	sjis-euc
0xFA70, 0xF9B5,	//	sjis-euc
0xFA71, 0xF9B6,	//	sjis-euc
0xFA72, 0xF9B7,	//	sjis-euc
0xFA73, 0xF9B8,	//	sjis-euc
0xFA74, 0xF9B9,	//	sjis-euc
0xFA75, 0xF9BA,	//	sjis-euc
0xFA76, 0xF9BB,	//	sjis-euc
0xFA77, 0xF9BC,	//	sjis-euc
0xFA78, 0xF9BD,	//	sjis-euc
0xFA79, 0xF9BE,	//	sjis-euc
0xFA7A, 0xF9BF,	//	sjis-euc
0xFA7B, 0xF9C0,	//	sjis-euc
0xFA7C, 0xF9C1,	//	sjis-euc
0xFA7D, 0xF9C2,	//	sjis-euc
0xFA7E, 0xF9C3,	//	sjis-euc
0xFA80, 0xF9C4,	//	sjis-euc
0xFA81, 0xF9C5,	//	sjis-euc
0xFA82, 0xF9C6,	//	sjis-euc
0xFA83, 0xF9C7,	//	sjis-euc
0xFA84, 0xF9C8,	//	sjis-euc
0xFA85, 0xF9C9,	//	sjis-euc
0xFA86, 0xF9CA,	//	sjis-euc
0xFA87, 0xF9CB,	//	sjis-euc
0xFA88, 0xF9CC,	//	sjis-euc
0xFA89, 0xF9CD,	//	sjis-euc
0xFA8A, 0xF9CE,	//	sjis-euc
0xFA8B, 0xF9CF,	//	sjis-euc
0xFA8C, 0xF9D0,	//	sjis-euc
0xFA8D, 0xF9D1,	//	sjis-euc
0xFA8E, 0xF9D2,	//	sjis-euc
0xFA8F, 0xF9D3,	//	sjis-euc
0xFA90, 0xF9D4,	//	sjis-euc
0xFA91, 0xF9D5,	//	sjis-euc
0xFA92, 0xF9D6,	//	sjis-euc
0xFA93, 0xF9D7,	//	sjis-euc
0xFA94, 0xF9D8,	//	sjis-euc
0xFA95, 0xF9D9,	//	sjis-euc
0xFA96, 0xF9DA,	//	sjis-euc
0xFA97, 0xF9DB,	//	sjis-euc
0xFA98, 0xF9DC,	//	sjis-euc
0xFA99, 0xF9DD,	//	sjis-euc
0xFA9A, 0xF9DE,	//	sjis-euc
0xFA9B, 0xF9DF,	//	sjis-euc
0xFA9C, 0xF9E0,	//	sjis-euc
0xFA9D, 0xF9E1,	//	sjis-euc
0xFA9E, 0xF9E2,	//	sjis-euc
0xFA9F, 0xF9E3,	//	sjis-euc
0xFAA0, 0xF9E4,	//	sjis-euc
0xFAA1, 0xF9E5,	//	sjis-euc
0xFAA2, 0xF9E6,	//	sjis-euc
0xFAA3, 0xF9E7,	//	sjis-euc
0xFAA4, 0xF9E8,	//	sjis-euc
0xFAA5, 0xF9E9,	//	sjis-euc
0xFAA6, 0xF9EA,	//	sjis-euc
0xFAA7, 0xF9EB,	//	sjis-euc
0xFAA8, 0xF9EC,	//	sjis-euc
0xFAA9, 0xF9ED,	//	sjis-euc
0xFAAA, 0xF9EE,	//	sjis-euc
0xFAAB, 0xF9EF,	//	sjis-euc
0xFAAC, 0xF9F0,	//	sjis-euc
0xFAAD, 0xF9F1,	//	sjis-euc
0xFAAE, 0xF9F2,	//	sjis-euc
0xFAAF, 0xF9F3,	//	sjis-euc
0xFAB0, 0xF9F4,	//	sjis-euc
0xFAB1, 0xF9F5,	//	sjis-euc
0xFAB2, 0xF9F6,	//	sjis-euc
0xFAB3, 0xF9F7,	//	sjis-euc
0xFAB4, 0xF9F8,	//	sjis-euc
0xFAB5, 0xF9F9,	//	sjis-euc
0xFAB6, 0xF9FA,	//	sjis-euc
0xFAB7, 0xF9FB,	//	sjis-euc
0xFAB8, 0xF9FC,	//	sjis-euc
0xFAB9, 0xF9FD,	//	sjis-euc
0xFABA, 0xF9FE,	//	sjis-euc
0xFABB, 0xFAA1,	//	sjis-euc
0xFABC, 0xFAA2,	//	sjis-euc
0xFABD, 0xFAA3,	//	sjis-euc
0xFABE, 0xFAA4,	//	sjis-euc
0xFABF, 0xFAA5,	//	sjis-euc
0xFAC0, 0xFAA6,	//	sjis-euc
0xFAC1, 0xFAA7,	//	sjis-euc
0xFAC2, 0xFAA8,	//	sjis-euc
0xFAC3, 0xFAA9,	//	sjis-euc
0xFAC4, 0xFAAA,	//	sjis-euc
0xFAC5, 0xFAAB,	//	sjis-euc
